,Date,Open*,High,Low,Close**,Volume,Market Cap
244,"Apr 18, 2019",5251.48,5319.99,5250.51,5298.39,"13,256,489,918","93,532,402,741"
245,"Apr 17, 2019",5236.14,5274.28,5219.21,5251.94,"12,438,480,677","92,702,617,458"
246,"Apr 16, 2019",5066.58,5238.95,5055.19,5235.56,"11,618,660,197","92,404,613,297"
247,"Apr 15, 2019",5167.32,5196.61,5024.07,5067.11,"12,290,155,061","89,422,237,603"
248,"Apr 14, 2019",5095.76,5184.02,5053.57,5167.72,"10,391,952,498","91,188,595,341"
249,"Apr 13, 2019",5088.85,5127.12,5061.59,5096.59,"10,823,289,598","89,925,574,875"
250,"Apr 12, 2019",5061.2,5103.27,4955.85,5089.54,"13,675,206,312","89,792,633,045"
251,"Apr 11, 2019",5325.08,5354.23,5017.3,5064.49,"16,555,616,019","89,341,168,457"
252,"Apr 10, 2019",5204.11,5421.65,5193.38,5324.55,"15,504,590,933","93,918,439,274"
253,"Apr 09, 2019",5289.92,5289.92,5167.42,5204.96,"14,722,104,361","91,799,330,425"
254,"Apr 08, 2019",5199.84,5318.84,5148.21,5289.77,"17,154,113,634","93,286,365,973"
255,"Apr 07, 2019",5062.79,5235.19,5050.41,5198.9,"16,655,416,140","91,674,230,186"
256,"Apr 06, 2019",5036.79,5205.82,4992.22,5059.82,"16,929,795,194","89,212,733,450"
257,"Apr 05, 2019",4922.81,5053.51,4919.49,5036.68,"16,837,325,387","88,796,118,650"
258,"Apr 04, 2019",4971.31,5063.16,4836.79,4922.8,"18,251,810,240","86,778,727,821"
259,"Apr 03, 2019",4879.96,5307.0,4876.62,4973.02,"22,899,891,582","87,655,288,145"
260,"Apr 02, 2019",4156.92,4905.95,4155.32,4879.88,"21,315,047,816","85,986,009,273"
261,"Apr 01, 2019",4105.36,4164.95,4096.9,4158.18,"10,157,794,171","73,269,368,747"
262,"Mar 31, 2019",4105.46,4113.02,4094.1,4105.4,"9,045,122,443","72,339,379,036"
263,"Mar 30, 2019",4092.14,4296.81,4053.91,4106.66,"9,732,688,060","72,355,190,645"
264,"Mar 29, 2019",4068.3,4113.5,4034.1,4098.37,"10,918,665,557","72,202,088,875"
265,"Mar 28, 2019",4087.58,4094.9,4040.27,4069.11,"9,353,915,899","71,678,998,915"
266,"Mar 27, 2019",3984.24,4087.07,3977.81,4087.07,"10,897,131,934","71,987,847,571"
267,"Mar 26, 2019",3969.23,3985.08,3944.75,3985.08,"10,707,678,815","70,184,147,203"
268,"Mar 25, 2019",4024.11,4038.84,3934.03,3963.07,"10,359,818,883","69,789,872,373"
269,"Mar 24, 2019",4035.16,4040.7,4006.19,4022.17,"9,144,851,065","70,823,042,992"
270,"Mar 23, 2019",4022.71,4049.88,4015.96,4035.83,"9,578,850,549","71,056,017,910"
271,"Mar 22, 2019",4028.51,4053.91,4021.54,4023.97,"9,252,935,969","70,840,048,102"
